,fraud_count,legit_count,fraud_ratio,total_count
excitation,4,6,0.5714285714285714,10
waiter,4,6,0.5714285714285714,10
tradition,4,6,0.5714285714285714,10
presidents,4,6,0.5714285714285714,10
bids,12,20,0.5714285714285714,32
fires,4,6,0.5714285714285714,10
frame,22,38,0.5641025641025641,60
variation,5,8,0.5555555555555556,13
removal,15,26,0.5555555555555556,41
emphasizing,5,8,0.5555555555555556,13
preserving,5,8,0.5555555555555556,13
chats,5,8,0.5555555555555556,13
throughput,6,10,0.5454545454545454,16
maturity,6,10,0.5454545454545454,16
fabrication,38,69,0.5428571428571428,107
portion,13,23,0.5416666666666666,36
approximately,57,105,0.5377358490566038,162
realizing,8,14,0.5333333333333333,22
hazardous,16,29,0.5333333333333333,45
contractual,29,54,0.5272727272727272,83
speaker,21,39,0.525,60
distributes,11,20,0.5238095238095238,31
drawing,24,46,0.5106382978723404,70
damages,3,5,0.5,8
lawn,6,11,0.5,17
intercontinental,3,5,0.5,8
slowly,6,11,0.5,17
geophysical,5,9,0.5,14
earnings,23,45,0.5,68
crypto,3,5,0.5,8
vessels,7,13,0.5,20
paycheck,8,15,0.5,23
welfare,5,9,0.5,14
shortages,3,5,0.5,8
cafeteria,3,5,0.5,8
jose,11,21,0.5,32
ocean,6,11,0.5,17
scrub,3,5,0.5,8
rotation,22,43,0.5,65
responsibilitiesability,3,5,0.5,8
electro,4,7,0.5,11
misses,3,5,0.5,8
fuels,6,11,0.5,17
ext,7,13,0.5,20
fmea,3,5,0.5,8
delay,6,11,0.5,17
caused,4,7,0.5,11
mature,19,37,0.5,56
deleting,3,5,0.5,8
dhcp,4,7,0.5,11
purging,3,5,0.5,8
tidying,3,5,0.5,8
introductions,5,9,0.5,14
earn,113,227,0.4956140350877193,340
achievements,12,24,0.48,36
tired,11,22,0.4782608695652174,33
outlets,20,41,0.47619047619047616,61
chefs,10,20,0.47619047619047616,30
tenders,9,18,0.47368421052631576,27
accidents,9,18,0.47368421052631576,27
molding,15,31,0.46875,46
inventories,7,14,0.4666666666666667,21
calibration,7,14,0.4666666666666667,21
compiling,13,27,0.4642857142857143,40
sage,6,12,0.46153846153846156,18
machining,12,25,0.46153846153846156,37
incomplete,6,12,0.46153846153846156,18
sous,6,12,0.46153846153846156,18
groom,6,12,0.46153846153846156,18
keys,11,23,0.4583333333333333,34
prepared,54,118,0.453781512605042,172
troubleshoots,9,19,0.45,28
pager,4,8,0.4444444444444444,12
dust,4,8,0.4444444444444444,12
dispose,4,8,0.4444444444444444,12
cmms,4,8,0.4444444444444444,12
cognitive,4,8,0.4444444444444444,12
etiquette,4,8,0.4444444444444444,12
wisconsin,4,8,0.4444444444444444,12
menu,19,42,0.4418604651162791,61
church,14,31,0.4375,45
essentially,7,15,0.4375,22
calculations,27,61,0.43548387096774194,88
ranging,46,105,0.4339622641509434,151
commodities,3,6,0.42857142857142855,9
granted,3,6,0.42857142857142855,9
hydraulics,3,6,0.42857142857142855,9
quant,3,6,0.42857142857142855,9
permits,9,20,0.42857142857142855,29
plcs,3,6,0.42857142857142855,9
banquet,6,13,0.42857142857142855,19
insert,3,6,0.42857142857142855,9
homeowner,6,13,0.42857142857142855,19
figures,15,34,0.42857142857142855,49
rig,8,18,0.42105263157894735,26
valves,8,18,0.42105263157894735,26
fat,5,11,0.4166666666666667,16
figure,30,71,0.4166666666666667,101
greetings,12,28,0.41379310344827586,40
deviations,7,16,0.4117647058823529,23
budgetary,7,16,0.4117647058823529,23
callers,18,43,0.4090909090909091,61
preventive,22,53,0.4074074074074074,75
totally,15,36,0.40540540540540543,51
guarantee,23,56,0.40350877192982454,79
valve,4,9,0.4,13
everybody,6,14,0.4,20
solidworks,4,9,0.4,13
standardization,4,9,0.4,13
scada,4,9,0.4,13
locating,4,9,0.4,13
soil,8,19,0.4,27
earning,43,107,0.39814814814814814,150
assembly,40,100,0.39603960396039606,140
instrumentation,24,60,0.39344262295081966,84
confined,7,17,0.3888888888888889,24
